Grand Prix,Driver,Car,Time,DriverCode,Year
Germany,Jackie Stewart,Matra Ford,9:36.000,STE,1968
Italy,Jackie Oliver,Lotus Ford,1:26.500,OLI,1968
Canada,Jo Siffert,Lotus Ford,1:35.100,SIF,1968
United States,Jackie Stewart,Matra Ford,1:05.220,STE,1968
Mexico,Jo Siffert,Lotus Ford,1:44.230,SIF,1968
South Africa,Jackie Stewart,Matra Ford,1:21.600,STE,1969
Spain,Jochen Rindt,Lotus Ford,1:28.300,RIN,1969
Monaco,Jackie Stewart,Matra Ford,1:25.100,STE,1969
Netherlands,Jackie Stewart,Matra Ford,1:22.940,STE,1969
France,Jackie Stewart,Matra Ford,3:02.700,STE,1969
Great Britain,Jackie Stewart,Matra Ford,1:21.300,STE,1969
Germany,Jacky Ickx,Brabham Climax,7:43.800,ICK,1969
Italy,Jean-Pierre Beltoise,Matra Ford,1:25.200,BEL,1969
Canada,Jacky Ickx,Brabham Climax,1:18.100,ICK,1969
United States,Jochen Rindt,Lotus Ford,1:04.340,RIN,1969
Mexico,Jacky Ickx,Brabham Climax,1:43.050,ICK,1969
South Africa,John Surtees,McLaren Ford,1:20.800,SUR,1970
Spain,Jack Brabham,Brabham Ford,1:24.300,BRA,1970
Monaco,Jochen Rindt,Lotus Ford,1:23.200,RIN,1970
Belgium,Chris Amon,March Ford,3:27.400,AMO,1970
Netherlands,Jacky Ickx,Ferrari,1:19.230,ICK,1970
France,Jack Brabham,Brabham Ford,3:00.750,BRA,1970
Great Britain,Jack Brabham,Brabham Ford,1:25.900,BRA,1970
Germany,Jacky Ickx,Ferrari,2:00.500,ICK,1970
Austria,Jacky Ickx,Ferrari,1:40.400,ICK,1970
Italy,Clay Regazzoni,Ferrari,1:25.200,REG,1970
Canada,Clay Regazzoni,Ferrari,1:32.200,REG,1970
United States,Jacky Ickx,Ferrari,1:02.740,ICK,1970
Mexico,Jacky Ickx,Ferrari,1:43.110,ICK,1970
South Africa,Mario Andretti,Ferrari,1:20.300,AND,1971
Spain,Jacky Ickx,Ferrari,1:25.100,ICK,1971
Monaco,Jackie Stewart,Tyrrell Ford,1:22.200,STE,1971
Netherlands,Jacky Ickx,Ferrari,1:34.950,ICK,1971
France,Jackie Stewart,Tyrrell Ford,1:54.090,STE,1971
Great Britain,Jackie Stewart,Tyrrell Ford,1:19.900,STE,1971
Germany,Francois Cevert,Tyrrell Ford,7:20.100,CEV,1971
Austria,Jo Siffert,BRM,1:38.470,SIF,1971
Italy,Henri Pescarolo,March Ford,1:23.800,PES,1971
Canada,Denny Hulme,McLaren Ford,1:43.500,HUL,1971
United States,Jacky Ickx,Ferrari,1:43.474,ICK,1971
Argentina,Jackie Stewart,Tyrrell Ford,1:13.660,STE,1972
South Africa,Mike Hailwood,Surtees Ford,1:18.900,HAI,1972
Spain,Jacky Ickx,Ferrari,1:21.010,ICK,1972
Monaco,Jean-Pierre Beltoise,BRM,1:40.000,BEL,1972
Belgium,Chris Amon,Matra,1:12.120,AMO,1972
France,Chris Amon,Matra,2:53.900,AMO,1972
Great Britain,Jackie Stewart,Tyrrell Ford,1:24.000,STE,1972
Germany,Jacky Ickx,Ferrari,7:13.600,ICK,1972
Austria,Denny Hulme,McLaren Ford,1:38.320,HUL,1972
Italy,Jacky Ickx,Ferrari,1:36.300,ICK,1972
Canada,Jackie Stewart,Tyrrell Ford,1:15.700,STE,1972
United States,Jackie Stewart,Tyrrell Ford,1:41.644,STE,1972
Argentina,Emerson Fittipaldi,Lotus Ford,1:11.220,FIT,1973
Brazil,Emerson Fittipaldi,Lotus Ford,2:35.000,FIT,1973
South Africa,Emerson Fittipaldi,Lotus Ford,1:17.100,FIT,1973
Spain,Ronnie Peterson,Lotus Ford,1:23.800,PET,1973
Belgium,Francois Cevert,Tyrrell Ford,1:25.420,CEV,1973
Monaco,Emerson Fittipaldi,Lotus Ford,1:28.100,FIT,1973
Sweden,Denny Hulme,McLaren Ford,1:26.146,HUL,1973
France,Denny Hulme,McLaren Ford,1:50.990,HUL,1973
Great Britain,James Hunt,March Ford,1:18.600,HUN,1973
Netherlands,Ronnie Peterson,Lotus Ford,1:20.310,PET,1973
Germany,Carlos Pace,Surtees Ford,7:11.400,PAC,1973
Austria,Carlos Pace,Surtees Ford,1:37.290,PAC,1973
Italy,Jackie Stewart,Tyrrell Ford,1:35.300,STE,1973
Canada,Emerson Fittipaldi,Lotus Ford,1:15.496,FIT,1973
United States,James Hunt,March Ford,1:41.652,HUN,1973
Argentina,Clay Regazzoni,Ferrari,1:52.100,REG,1974
Brazil,Clay Regazzoni,Ferrari,2:36.050,REG,1974
South Africa,Carlos Reutemann,Brabham Ford,1:18.160,REU,1974
Spain,Niki Lauda,Ferrari,1:20.830,LAU,1974
Belgium,Denny Hulme,McLaren Ford,1:11.310,HUL,1974
Monaco,Ronnie Peterson,Lotus Ford,1:27.900,PET,1974
Sweden,Patrick Depailler,Tyrrell Ford,1:27.262,DEP,1974
Netherlands,Ronnie Peterson,Lotus Ford,1:21.440,PET,1974
France,Jody Scheckter,Tyrrell Ford,1:00.000,SCH,1974
Great Britain,Niki Lauda,Ferrari,1:21.100,LAU,1974
Germany,Jody Scheckter,Tyrrell Ford,7:11.100,SCH,1974
Austria,Clay Regazzoni,Ferrari,1:37.220,REG,1974
Italy,Carlos Pace,Brabham Ford,1:34.200,PAC,1974
Canada,Niki Lauda,Ferrari,1:13.659,LAU,1974
United States,Carlos Pace,Brabham Ford,1:40.608,PAC,1974
Argentina,James Hunt,Hesketh Ford,1:50.910,HUN,1975
Brazil,Jean-Pierre Jarier,Shadow Matra,2:34.160,JAR,1975
South Africa,Carlos Pace,Brabham Ford,1:17.200,PAC,1975
Spain,Mario Andretti,Parnelli Ford,1:25.100,AND,1975
Monaco,Patrick Depailler,Tyrrell Ford,1:28.670,DEP,1975
Belgium,Clay Regazzoni,Ferrari,1:26.760,REG,1975
Sweden,Niki Lauda,Ferrari,1:28.267,LAU,1975
Netherlands,Niki Lauda,Ferrari,1:21.540,LAU,1975
France,Jochen Mass,McLaren Ford,1:50.600,MAS,1975
Great Britain,Clay Regazzoni,Ferrari,1:20.900,REG,1975
Germany,Clay Regazzoni,Ferrari,7:06.400,REG,1975
Austria,Vittorio Brambilla,March Ford,1:53.900,BRA,1975
Italy,Clay Regazzoni,Ferrari,1:33.100,REG,1975
United States,Emerson Fittipaldi,McLaren Ford,1:43.374,FIT,1975
Brazil,Jean-Pierre Jarier,Shadow Ford,2:35.070,JAR,1976
South Africa,Niki Lauda,Ferrari,1:17.970,LAU,1976
USA West,Clay Regazzoni,Ferrari,1:23.076,REG,1976
Spain,Jochen Mass,McLaren Ford,1:20.930,MAS,1976
Belgium,Niki Lauda,Ferrari,1:25.980,LAU,1976
Monaco,Clay Regazzoni,Ferrari,1:30.280,REG,1976
Sweden,Mario Andretti,Lotus Ford,1:28.002,AND,1976
France,Niki Lauda,Ferrari,1:51.000,LAU,1976
Great Britain,Niki Lauda,Ferrari,1:19.910,LAU,1976
Germany,Jody Scheckter,Tyrrell Ford,7:10.800,SCH,1976
Austria,James Hunt,McLaren Ford,1:35.910,HUN,1976
Netherlands,Clay Regazzoni,Ferrari,1:22.590,REG,1976
Italy,Ronnie Peterson,March Ford,1:41.300,PET,1976
Canada,Patrick Depailler,Tyrrell Ford,1:13.817,DEP,1976
USA East,James Hunt,McLaren Ford,1:42.851,HUN,1976
Japan,Jacques Laffite,Ligier Matra,1:19.970,LAF,1976
Argentina,James Hunt,McLaren Ford,1:51.060,HUN,1977
Brazil,James Hunt,McLaren Ford,2:34.550,HUN,1977
South Africa,John Watson,Brabham Alfa Romeo,1:17.630,WAT,1977
USA West,Niki Lauda,Ferrari,1:22.753,LAU,1977
Spain,Jacques Laffite,Ligier Matra,1:20.810,LAF,1977
Monaco,Jody Scheckter,Wolf Ford,1:31.070,SCH,1977
Belgium,Gunnar Nilsson,Lotus Ford,1:27.540,NIL,1977
Sweden,Mario Andretti,Lotus Ford,1:27.607,AND,1977
France,Mario Andretti,Lotus Ford,1:13.750,AND,1977
Great Britain,James Hunt,McLaren Ford,1:19.600,HUN,1977
Germany,Niki Lauda,Ferrari,1:55.990,LAU,1977
Austria,John Watson,Brabham Alfa Romeo,1:40.960,WAT,1977
Netherlands,Niki Lauda,Ferrari,1:19.990,LAU,1977
Italy,Mario Andretti,Lotus Ford,1:39.100,AND,1977
USA East,Ronnie Peterson,Tyrrell Ford,1:51.854,PET,1977
Canada,Mario Andretti,Lotus Ford,1:13.299,AND,1977
Japan,Jody Scheckter,Wolf Ford,1:14.300,SCH,1977
Argentina,Gilles Villeneuve,Ferrari,1:49.760,VIL,1978
Brazil,Carlos Reutemann,Ferrari,1:43.070,REU,1978
South Africa,Mario Andretti,Lotus Ford,1:17.090,AND,1978
USA West,Alan Jones,Williams Ford,1:22.215,JON,1978
Monaco,Niki Lauda,Brabham Alfa Romeo,1:28.650,LAU,1978
Belgium,Ronnie Peterson,Lotus Ford,1:23.130,PET,1978
Spain,Mario Andretti,Lotus Ford,1:20.060,AND,1978
Sweden,Niki Lauda,Brabham Alfa Romeo,1:24.836,LAU,1978
France,Carlos Reutemann,Ferrari,1:48.560,REU,1978
Great Britain,Niki Lauda,Brabham Alfa Romeo,1:18.600,LAU,1978
Germany,Ronnie Peterson,Lotus Ford,1:55.620,PET,1978
Austria,Ronnie Peterson,Lotus Ford,1:43.120,PET,1978
Netherlands,Niki Lauda,Brabham Alfa Romeo,1:19.570,LAU,1978
Italy,Mario Andretti,Lotus Ford,1:38.230,AND,1978
USA East,Jean-Pierre Jarier,Lotus Ford,1:39.557,JAR,1978
Canada,Alan Jones,Williams Ford,1:38.072,JON,1978
Argentina,Jacques Laffite,Ligier Ford,1:46.910,LAF,1979
Brazil,Jacques Laffite,Ligier Ford,2:28.760,LAF,1979
South Africa,Gilles Villeneuve,Ferrari,1:14.412,VIL,1979
USA West,Gilles Villeneuve,Ferrari,1:21.200,VIL,1979
Spain,Gilles Villeneuve,Ferrari,1:16.440,VIL,1979
Belgium,Gilles Villeneuve,Ferrari,1:23.090,VIL,1979
Monaco,Patrick Depailler,Ligier Ford,1:28.820,DEP,1979
France,Rene Arnoux,Renault,1:09.160,ARN,1979
Great Britain,Clay Regazzoni,Williams Ford,1:14.400,REG,1979
Germany,Gilles Villeneuve,Ferrari,1:51.890,VIL,1979
Austria,Rene Arnoux,Renault,1:35.770,ARN,1979
Netherlands,Gilles Villeneuve,Ferrari,1:19.438,VIL,1979
Italy,Clay Regazzoni,Williams Ford,1:35.600,REG,1979
Canada,Alan Jones,Williams Ford,1:31.272,JON,1979
USA East,Nelson Piquet,Brabham Ford,1:40.054,PIQ,1979
Argentina,Alan Jones,Williams Ford,1:50.450,JON,1980
Brazil,Rene Arnoux,Renault,2:27.310,ARN,1980
South Africa,Rene Arnoux,Renault,1:13.150,ARN,1980
USA West,Nelson Piquet,Brabham Ford,1:19.830,PIQ,1980
Belgium,Jacques Laffite,Ligier Ford,1:20.880,LAF,1980
Monaco,Carlos Reutemann,Williams Ford,1:27.418,REU,1980
France,Alan Jones,Williams Ford,1:41.450,JON,1980
Great Britain,Didier Pironi,Ligier Ford,1:12.368,PIR,1980
Germany,Alan Jones,Williams Ford,1:48.490,JON,1980
Austria,Rene Arnoux,Renault,1:32.530,ARN,1980
Netherlands,Rene Arnoux,Renault,1:19.350,ARN,1980
Italy,Alan Jones,Williams Ford,1:36.089,JON,1980
Canada,Didier Pironi,Ligier Ford,1:28.769,PIR,1980
USA East,Alan Jones,Williams Ford,1:34.068,JON,1980
USA West,Alan Jones,Williams Ford,1:20.901,JON,1981
Brazil,Marc Surer,Ensign Ford,1:54.302,SUR,1981
Argentina,Nelson Piquet,Brabham Ford,1:45.287,PIQ,1981
San Marino,Gilles Villeneuve,Ferrari,1:48.064,VIL,1981
Belgium,Carlos Reutemann,Williams Ford,1:23.300,REU,1981
Monaco,Alan Jones,Williams Ford,1:27.470,JON,1981
Spain,Alan Jones,Williams Ford,1:17.818,JON,1981
France,Alain Prost,Renault,1:09.140,PRO,1981
Great Britain,Rene Arnoux,Renault,1:15.067,ARN,1981
Germany,Alan Jones,Williams Ford,1:52.420,JON,1981
Austria,Jacques Laffite,Ligier Matra,1:37.620,LAF,1981
Netherlands,Alan Jones,Williams Ford,1:21.830,JON,1981
Italy,Carlos Reutemann,Williams Ford,1:37.528,REU,1981
Canada,John Watson,McLaren Ford,1:49.475,WAT,1981
Las Vegas,Didier Pironi,Ferrari,1:20.156,PIR,1981
South Africa,Alain Prost,Renault,1:08.278,PRO,1982
Brazil,Alain Prost,Renault,1:37.016,PRO,1982
USA West,Niki Lauda,McLaren Ford,1:30.831,LAU,1982
San Marino,Didier Pironi,Ferrari,1:35.036,PIR,1982
Belgium,John Watson,McLaren Ford,1:20.214,WAT,1982
Monaco,Riccardo Patrese,Brabham Ford,1:26.354,PAT,1982
Detroit,Alain Prost,Renault,1:50.438,PRO,1982
Canada,Didier Pironi,Ferrari,1:28.323,PIR,1982
Netherlands,Derek Warwick,Toleman Hart,1:19.780,WAR,1982
Great Britain,Brian Henton,Tyrrell Ford,1:13.028,HEN,1982
France,Riccardo Patrese,Brabham Ford,1:40.075,PAT,1982
Germany,Nelson Piquet,Brabham Ford,1:54.035,PIQ,1982
Austria,Nelson Piquet,Brabham Ford,1:33.699,PIQ,1982
Switzerland,Alain Prost,Renault,1:07.477,PRO,1982
Italy,Rene Arnoux,Renault,1:33.619,ARN,1982
Las Vegas,Michele Alboreto,Tyrrell Ford,1:19.639,ALB,1982
Brazil,Nelson Piquet,Brabham BMW,1:39.829,PIQ,1983
USA West,Niki Lauda,McLaren TAG,1:28.330,LAU,1983
France,Alain Prost,Renault,1:42.695,PRO,1983
San Marino,Riccardo Patrese,Brabham BMW,1:34.437,PAT,1983
Monaco,Nelson Piquet,Brabham BMW,1:27.283,PIQ,1983
Belgium,Andrea de Cesaris,Alfa Romeo,2:07.493,DEC,1983
Detroit,John Watson,McLaren TAG,1:47.668,WAT,1983
Canada,Patrick Tambay,Ferrari,1:30.851,TAM,1983
Great Britain,Alain Prost,Renault,1:14.212,PRO,1983
Germany,Rene Arnoux,Ferrari,1:53.938,ARN,1983
Austria,Alain Prost,Renault,1:33.961,PRO,1983
Netherlands,Rene Arnoux,Ferrari,1:19.863,ARN,1983
Italy,Nelson Piquet,Brabham BMW,1:34.431,PIQ,1983
Europe,Nigel Mansell,Lotus Ford,1:14.342,MAN,1983
South Africa,Nelson Piquet,Brabham BMW,1:09.948,PIQ,1983
Brazil,Alain Prost,McLaren TAG,1:36.499,PRO,1984
South Africa,Patrick Tambay,Renault,1:08.877,TAM,1984
Belgium,Rene Arnoux,Ferrari,1:19.294,ARN,1984
San Marino,Nelson Piquet,Brabham BMW,1:33.275,PIQ,1984
France,Alain Prost,McLaren TAG,1:05.257,PRO,1984
Monaco,Ayrton Senna,Toleman Hart,1:54.334,SEN,1984
Canada,Nelson Piquet,Brabham BMW,1:28.763,PIQ,1984
Detroit,Derek Warwick,Renault,1:46.221,WAR,1984
Dallas,Niki Lauda,McLaren TAG,1:45.353,LAU,1984
Great Britain,Niki Lauda,McLaren TAG,1:13.191,LAU,1984
Germany,Alain Prost,McLaren TAG,1:53.538,PRO,1984
Austria,Niki Lauda,McLaren TAG,1:32.882,LAU,1984
Netherlands,Rene Arnoux,Ferrari,1:19.465,ARN,1984
Italy,Niki Lauda,McLaren TAG,1:31.912,LAU,1984
Europe,Nelson Piquet,Brabham BMW,1:23.146,PIQ,1984
Portugal,Niki Lauda,McLaren TAG,1:22.996,LAU,1984
Brazil,Alain Prost,McLaren TAG,1:36.702,PRO,1985
Portugal,Ayrton Senna,Lotus Renault,1:44.121,SEN,1985
San Marino,Michele Alboreto,Ferrari,1:30.961,ALB,1985
Monaco,Michele Alboreto,Ferrari,1:22.637,ALB,1985
Canada,Ayrton Senna,Lotus Renault,1:27.445,SEN,1985
Detroit,Ayrton Senna,Lotus Renault,1:45.612,SEN,1985
France,Keke Rosberg,Williams Honda,1:39.914,ROS,1985
Great Britain,Alain Prost,McLaren TAG,1:09.886,PRO,1985
Germany,Niki Lauda,McLaren TAG,1:22.806,LAU,1985
Austria,Alain Prost,McLaren TAG,1:29.241,PRO,1985
Netherlands,Alain Prost,McLaren TAG,1:16.538,PRO,1985
Italy,Nigel Mansell,Williams Honda,1:28.283,MAN,1985
Belgium,Alain Prost,McLaren TAG,2:01.730,PRO,1985
Europe,Jacques Laffite,Ligier Renault,1:11.526,LAF,1985
South Africa,Keke Rosberg,Williams Honda,1:08.149,ROS,1985
Australia,Keke Rosberg,Williams Honda,1:23.758,ROS,1985
Brazil,Nelson Piquet,Williams Honda,1:33.546,PIQ,1986
Spain,Nigel Mansell,Williams Honda,1:27.176,MAN,1986
San Marino,Nelson Piquet,Williams Honda,1:28.667,PIQ,1986
Monaco,Alain Prost,McLaren TAG,1:26.607,PRO,1986
Belgium,Alain Prost,McLaren TAG,1:59.282,PRO,1986
Canada,Nelson Piquet,Williams Honda,1:25.443,PIQ,1986
Detroit,Nelson Piquet,Williams Honda,1:41.233,PIQ,1986
France,Nigel Mansell,Williams Honda,1:09.993,MAN,1986
Great Britain,Nigel Mansell,Williams Honda,1:09.593,MAN,1986
Germany,Gerhard Berger,Benetton BMW,1:46.604,BER,1986
Hungary,Nelson Piquet,Williams Honda,1:31.001,PIQ,1986
Austria,Gerhard Berger,Benetton BMW,1:29.444,BER,1986
Italy,Teo Fabi,Benetton BMW,1:28.099,FAB,1986
Portugal,Nigel Mansell,Williams Honda,1:20.943,MAN,1986
Mexico,Nelson Piquet,Williams Honda,1:19.360,PIQ,1986
Australia,Nelson Piquet,Williams Honda,1:20.787,PIQ,1986
Brazil,Nelson Piquet,Williams Honda,1:33.861,PIQ,1987
San Marino,Teo Fabi,Benetton Ford,1:29.246,FAB,1987
Belgium,Alain Prost,McLaren TAG,1:57.153,PRO,1987
Monaco,Ayrton Senna,Lotus Honda,1:27.685,SEN,1987
Detroit,Ayrton Senna,Lotus Honda,1:40.464,SEN,1987
France,Nelson Piquet,Williams Honda,1:09.548,PIQ,1987
Great Britain,Nigel Mansell,Williams Honda,1:09.832,MAN,1987
Germany,Nigel Mansell,Williams Honda,1:45.716,MAN,1987
Hungary,Nelson Piquet,Williams Honda,1:30.149,PIQ,1987
Austria,Nigel Mansell,Williams Honda,1:28.318,MAN,1987
Italy,Ayrton Senna,Lotus Honda,1:26.796,SEN,1987
Portugal,Gerhard Berger,Ferrari,1:19.282,BER,1987
Spain,Gerhard Berger,Ferrari,1:26.986,BER,1987
Mexico,Nelson Piquet,Williams Honda,1:19.132,PIQ,1987
Japan,Alain Prost,McLaren TAG,1:43.844,PRO,1987
Australia,Gerhard Berger,Ferrari,1:20.416,BER,1987
Brazil,Gerhard Berger,Ferrari,1:32.943,BER,1988
San Marino,Alain Prost,McLaren Honda,1:29.685,PRO,1988
Monaco,Ayrton Senna,McLaren Honda,1:26.321,SEN,1988
Mexico,Alain Prost,McLaren Honda,1:18.608,PRO,1988
Canada,Ayrton Senna,McLaren Honda,1:24.973,SEN,1988
Detroit,Alain Prost,McLaren Honda,1:44.836,PRO,1988
France,Alain Prost,McLaren Honda,1:11.737,PRO,1988
Great Britain,Nigel Mansell,Williams Judd,1:23.308,MAN,1988
Germany,Alessandro Nannini,Benetton Ford,2:03.032,NAN,1988
Hungary,Alain Prost,McLaren Honda,1:30.639,PRO,1988
Belgium,Gerhard Berger,Ferrari,2:00.772,BER,1988
Italy,Michele Alboreto,Ferrari,1:29.070,ALB,1988
Portugal,Gerhard Berger,Ferrari,1:21.961,BER,1988
Spain,Alain Prost,McLaren Honda,1:27.845,PRO,1988
Japan,Ayrton Senna,McLaren Honda,1:46.326,SEN,1988
Australia,Alain Prost,McLaren Honda,1:21.216,PRO,1988
Brazil,Riccardo Patrese,Williams Renault,1:32.507,PAT,1989
San Marino,Alain Prost,McLaren Honda,1:26.795,PRO,1989
Monaco,Alain Prost,McLaren Honda,1:25.501,PRO,1989
Mexico,Nigel Mansell,Ferrari,1:20.420,MAN,1989
United States,Ayrton Senna,McLaren Honda,1:33.969,SEN,1989
Canada,Jonathan Palmer,Tyrrell Ford,1:31.925,PAL,1989
France,Mauricio Gugelmin,March Judd,1:12.090,GUG,1989
Great Britain,Nigel Mansell,Ferrari,1:12.017,MAN,1989
Germany,Ayrton Senna,McLaren Honda,1:45.884,SEN,1989
Hungary,Nigel Mansell,Ferrari,1:22.637,MAN,1989
Belgium,Alain Prost,McLaren Honda,2:11.571,PRO,1989
Italy,Alain Prost,McLaren Honda,1:28.107,PRO,1989
Portugal,Gerhard Berger,Ferrari,1:18.986,BER,1989
Spain,Ayrton Senna,McLaren Honda,1:25.779,SEN,1989
Japan,Alain Prost,McLaren Honda,1:43.506,PRO,1989
Australia,Satoru Nakajima,Lotus Judd,1:38.480,NAK,1989
United States,Gerhard Berger,McLaren Honda,1:31.050,BER,1990
Brazil,Gerhard Berger,McLaren Honda,1:19.899,BER,1990
San Marino,Alessandro Nannini,Benetton Ford,1:27.156,NAN,1990
Monaco,Ayrton Senna,McLaren Honda,1:24.468,SEN,1990
Canada,Gerhard Berger,McLaren Honda,1:22.077,BER,1990
Mexico,Alain Prost,Ferrari,1:17.958,PRO,1990
France,Nigel Mansell,Ferrari,1:08.012,MAN,1990
Great Britain,Nigel Mansell,Ferrari,1:11.291,MAN,1990
Germany,Thierry Boutsen,Williams Renault,1:45.602,BOU,1990
Hungary,Riccardo Patrese,Williams Renault,1:22.058,PAT,1990
Belgium,Alain Prost,Ferrari,1:55.087,PRO,1990
Italy,Ayrton Senna,McLaren Honda,1:26.254,SEN,1990
Portugal,Riccardo Patrese,Williams Renault,1:18.306,PAT,1990
Spain,Riccardo Patrese,Williams Renault,1:24.513,PAT,1990
Japan,Riccardo Patrese,Williams Renault,1:44.233,PAT,1990
Australia,Nigel Mansell,Ferrari,1:18.203,MAN,1990
United States,Jean Alesi,Ferrari,1:26.758,ALE,1991
Brazil,Nigel Mansell,Williams Renault,1:20.436,MAN,1991
San Marino,Gerhard Berger,McLaren Honda,1:26.531,BER,1991
Monaco,Alain Prost,Ferrari,1:24.368,PRO,1991
Canada,Nigel Mansell,Williams Renault,1:22.385,MAN,1991
Mexico,Nigel Mansell,Williams Renault,1:16.788,MAN,1991
France,Nigel Mansell,Williams Renault,1:19.168,MAN,1991
Great Britain,Nigel Mansell,Williams Renault,1:26.379,MAN,1991
Germany,Riccardo Patrese,Williams Renault,1:43.569,PAT,1991
Hungary,Bertrand Gachot,Jordan Ford,1:21.547,GAC,1991
Belgium,Roberto Moreno,Benetton Ford,1:55.161,MOR,1991
Italy,Ayrton Senna,McLaren Honda,1:26.061,SEN,1991
Portugal,Nigel Mansell,Williams Renault,1:18.179,MAN,1991
Spain,Riccardo Patrese,Williams Renault,1:22.837,PAT,1991
Japan,Ayrton Senna,McLaren Honda,1:41.532,SEN,1991
Australia,Gerhard Berger,McLaren Honda,1:41.141,BER,1991
South Africa,Nigel Mansell,Williams Renault,1:17.578,MAN,1992
Mexico,Gerhard Berger,McLaren Honda,1:17.711,BER,1992
Brazil,Riccardo Patrese,Williams Renault,1:19.490,PAT,1992
Spain,Nigel Mansell,Williams Renault,1:42.503,MAN,1992
San Marino,Riccardo Patrese,Williams Renault,1:26.100,PAT,1992
Monaco,Nigel Mansell,Williams Renault,1:21.598,MAN,1992
Canada,Gerhard Berger,McLaren Honda,1:22.325,BER,1992
France,Nigel Mansell,Williams Renault,1:17.070,MAN,1992
Great Britain,Nigel Mansell,Williams Renault,1:22.539,MAN,1992
Germany,Riccardo Patrese,Williams Renault,1:41.591,PAT,1992
Hungary,Nigel Mansell,Williams Renault,1:18.308,MAN,1992
Belgium,Michael Schumacher,Benetton Ford,1:53.791,MSC,1992
Italy,Nigel Mansell,Williams Renault,1:26.119,MAN,1992
Portugal,Ayrton Senna,McLaren Honda,1:16.272,SEN,1992
Japan,Nigel Mansell,Williams Renault,1:40.646,MAN,1992
Australia,Michael Schumacher,Benetton Ford,1:16.078,MSC,1992
South Africa,Alain Prost,Williams Renault,1:19.492,PRO,1993
Brazil,Michael Schumacher,Benetton Ford,1:20.024,MSC,1993
Europe,Ayrton Senna,McLaren Ford,1:18.029,SEN,1993
San Marino,Alain Prost,Williams Renault,1:26.128,PRO,1993
Spain,Michael Schumacher,Benetton Ford,1:20.989,MSC,1993
Monaco,Alain Prost,Williams Renault,1:23.604,PRO,1993
Canada,Michael Schumacher,Benetton Ford,1:21.500,MSC,1993
France,Michael Schumacher,Benetton Ford,1:19.256,MSC,1993
Great Britain,Damon Hill,Williams Renault,1:22.515,HIL,1993
Germany,Michael Schumacher,Benetton Ford,1:41.859,MSC,1993
Hungary,Alain Prost,Williams Renault,1:19.633,PRO,1993
Belgium,Alain Prost,Williams Renault,1:51.095,PRO,1993
Italy,Damon Hill,Williams Renault,1:23.575,HIL,1993
Portugal,Damon Hill,Williams Renault,1:14.859,HIL,1993
Japan,Alain Prost,Williams Renault,1:41.176,PRO,1993
Australia,Damon Hill,Williams Renault,1:15.381,HIL,1993
Brazil,Michael Schumacher,Benetton Ford,1:18.455,MSC,1994
Pacific,Michael Schumacher,Benetton Ford,1:14.023,MSC,1994
San Marino,Damon Hill,Williams Renault,1:24.335,HIL,1994
Monaco,Michael Schumacher,Benetton Ford,1:21.076,MSC,1994
Spain,Michael Schumacher,Benetton Ford,1:25.155,MSC,1994
Canada,Michael Schumacher,Benetton Ford,1:28.927,MSC,1994
France,Damon Hill,Williams Renault,1:19.678,HIL,1994
Great Britain,Damon Hill,Williams Renault,1:27.100,HIL,1994
Germany,David Coulthard,Williams Renault,1:46.211,COU,1994
Hungary,Michael Schumacher,Benetton Ford,1:20.881,MSC,1994
Belgium,Damon Hill,Williams Renault,1:57.117,HIL,1994
Italy,Damon Hill,Williams Renault,1:25.930,HIL,1994
Portugal,David Coulthard,Williams Renault,1:22.446,COU,1994
Europe,Michael Schumacher,Benetton Ford,1:25.040,MSC,1994
Japan,Damon Hill,Williams Renault,1:56.597,HIL,1994
Australia,Michael Schumacher,Benetton Ford,1:17.140,MSC,1994
Brazil,Michael Schumacher,Benetton Renault,1:20.921,MSC,1995
Argentina,Michael Schumacher,Benetton Renault,1:30.522,MSC,1995
San Marino,Gerhard Berger,Ferrari,1:29.568,BER,1995
Spain,Damon Hill,Williams Renault,1:24.531,HIL,1995
Monaco,Jean Alesi,Ferrari,1:24.621,ALE,1995
Canada,Michael Schumacher,Benetton Renault,1:29.174,MSC,1995
France,Michael Schumacher,Benetton Renault,1:20.218,MSC,1995
Great Britain,Damon Hill,Williams Renault,1:29.752,HIL,1995
Germany,Michael Schumacher,Benetton Renault,1:48.824,MSC,1995
Hungary,Damon Hill,Williams Renault,1:20.247,HIL,1995
Belgium,David Coulthard,Williams Renault,1:53.412,COU,1995
Italy,Gerhard Berger,Ferrari,1:26.419,BER,1995
Portugal,David Coulthard,Williams Renault,1:23.220,COU,1995
Europe,Michael Schumacher,Benetton Renault,1:21.180,MSC,1995
Pacific,Michael Schumacher,Benetton Renault,1:16.374,MSC,1995
Japan,Michael Schumacher,Benetton Renault,1:42.976,MSC,1995
Australia,Damon Hill,Williams Renault,1:17.943,HIL,1995
Australia,Jacques Villeneuve,Williams Renault,1:33.421,VIL,1996
Brazil,Damon Hill,Williams Renault,1:21.547,HIL,1996
Argentina,Jean Alesi,Benetton Renault,1:29.413,ALE,1996
Europe,Damon Hill,Williams Renault,1:21.363,HIL,1996
San Marino,Damon Hill,Williams Renault,1:28.931,HIL,1996
Monaco,Jean Alesi,Benetton Renault,1:25.205,ALE,1996
Spain,Michael Schumacher,Ferrari,1:45.517,MSC,1996
