Grand Prix,Driver,Car,Time,DriverCode,Year
Styria,Carlos Sainz,McLaren Renault,1:05.619,SAI,2020
Hungary,Lewis Hamilton,Mercedes,1:16.627,HAM,2020
Great Britain,Max Verstappen,Red Bull Racing Honda,1:27.097,VER,2020
70th Anniversary,Lewis Hamilton,Mercedes,1:28.451,HAM,2020
Spain,Valtteri Bottas,Mercedes,1:18.183,BOT,2020
Belgium,Daniel Ricciardo,Renault,1:47.483,RIC,2020
Italy,Lewis Hamilton,Mercedes,1:22.746,HAM,2020
Tuscany,Lewis Hamilton,Mercedes,1:18.833,HAM,2020
Russia,Valtteri Bottas,Mercedes,1:37.030,BOT,2020
Eifel,Max Verstappen,Red Bull Racing Honda,1:28.139,VER,2020
Portugal,Lewis Hamilton,Mercedes,1:18.750,HAM,2020
Emilia Romagna,Lewis Hamilton,Mercedes,1:15.484,HAM,2020
Turkey,Lando Norris,McLaren Renault,1:36.806,NOR,2020
Bahrain,Max Verstappen,Red Bull Racing Honda,1:32.014,VER,2020
Sakhir,George Russell,Mercedes,55.404,RUS,2020
Abu Dhabi,Daniel Ricciardo,Renault,1:40.926,RIC,2020
Bahrain,Valtteri Bottas,Mercedes,1:32.090,BOT,2021
Emilia Romagna,Lewis Hamilton,Mercedes,1:16.702,HAM,2021
Portugal,Valtteri Bottas,Mercedes,1:19.865,BOT,2021
Spain,Max Verstappen,Red Bull Racing Honda,1:18.149,VER,2021
Monaco,Lewis Hamilton,Mercedes,1:12.909,HAM,2021
Azerbaijan,Max Verstappen,Red Bull Racing Honda,1:44.481,VER,2021
France,Max Verstappen,Red Bull Racing Honda,1:36.404,VER,2021
Styria,Lewis Hamilton,Mercedes,1:07.058,HAM,2021
Austria,Max Verstappen,Red Bull Racing Honda,1:06.200,VER,2021
Great Britain,Sergio Perez,Red Bull Racing Honda,1:28.617,PER,2021
Hungary,Pierre Gasly,AlphaTauri Honda,1:18.394,GAS,2021
Netherlands,Lewis Hamilton,Mercedes,1:11.097,HAM,2021
Italy,Daniel Ricciardo,McLaren Mercedes,1:24.812,RIC,2021
Russia,Lando Norris,McLaren Mercedes,1:37.423,NOR,2021
Turkey,Valtteri Bottas,Mercedes,1:30.432,BOT,2021
United States,Lewis Hamilton,Mercedes,1:38.485,HAM,2021
